Country;Year_survey;Index;Headcount_(%);Intensity_of_deprivation;Number_of_poor_(year_of_survey);Number_of_poor_2016;Population_vulnerable_to_multidimensional_poverty;Population_in_severe_multidimensional_poverty ;Contribution of depr (Health);Contribution of depr (Education);Contribution of depr (Standard of living)
Brazil;2015 N;0,0163460000;3,8419270000;42,5464700000;7912,9135740000;7977,8710940000;6,2107950000;0,9387836000;25,2691209300;29,1252136200;45,6056654500
Colombia;2015/2016 D;0,0205153750;5,0325252120;40,7655686100;2448,4955270000;2448,4956050000;6,1761848630;0,8953599260;44,5786267500;22,3820373400;33,0393374000
Ecuador;2013/2014 N;0,0179528840;4,4891718780;39,9915278000;713,9180316000;735,5538940000;7,5487907980;0,8265358400;36,2195849400;51,6671776800;12,1132306800
Jamaica;2014 N;0,0181528670;4,6869043260;38,7310385700;134,1432747000;135,0463562000;6,4129266890;0,8117211980;40,8303499200;23,4164983000;35,7531547500
Viet Nam;2014 M;0,0197263770;4,9952343110;39,4903928000;4622,8352970000;4723,9467770000;5,6199222800;0,7406362800;39,6344602100;21,1424872300;39,2230570300
Guyana;2014 M;0,0140989350;3,3662345260;41,8834030600;25,6975990700;26,0311927800;5,8717574920;0,6916646380;25,7152110300;50,2252697900;24,0595132100
Belize;2015/2016 M;0,0173238850;4,3514750900;39,8115247500;15,9679123400;15,9679126700;8,4708057340;0,6474313330;16,6084945200;41,7770564600;41,6144460400
Egypt;2014 D;0,0196036960;5,2168942990;37,5773310700;4789,7643650000;4991,9770510000;6,0807742180;0,5802856760;54,5235400000;11,1068060000;34,3696580000
Azerbaijan;2006 D;0,0188351140;4,9043517560;38,4048998400;423,2551347000;476,9666443000;12,1575702000;0,5210543980;67,0885145700;14,1071513300;18,8043311200
Dominican Republic;2014 M;0,0161057130;4,1454352440;38,8516813500;431,3675246000;441,4387207000;5,1874041560;0,4941237160;35,1100504400;47,3580986300;17,5318539100
China;2014 N;0,0169903000;4,1061150000;41,3779900000;57079,5311600000;57629,3390100000;17,9402500000;0,3468091000;40,7364666500;49,0242123600;10,2393150300
